Cities,Abbr
"Aachen, Germany",AAH
"Aalborg, Denmark",AAL
"Aarhus [Tirstrup], Denmark",AAR
"Abadan, Iran",ABD
"Abaiang, Kiribati",ABF
"Abakan, Khakassia, Russia",ABA
"Abau, Papua New Guinea",ABW
"Abbotsford, BC [Abbotsford Airport], Canada",YXX
"Abbse, Yemen",EAB
"Abeche, Chad",AEH
"Abemama Atoll, Kiribati",AEA
"Abengourou, Ivory Coast",OGO
"Aberdeen Proving Ground (Aberdeen), MD USA",APG
"Aberdeen, Scotland [Dyce], United Kingdom",ABZ
"Aberdeen, SD [Aberdeen Regional Airport], USA",ABR
"Abidjan [Port-Bouet], Ivory Coast",ABJ
"Abilene, TX [Abilene Regional Airport], USA",ABI
"Abilene, TX [Dyess Air Force Base], USA",DYS
"Abingdon, England [Abingdon RAF Station], United Kingdom",ABB
"Abingdon, VA [Virginia Highlands Airport], USA",VJI
"Abingoon, Queensland, Australia",ABG
"Aboisso, Ivory Coast",ABO
"Abou Deia, Chad",AOD
"Abreojos, Mexico",AJS
"Abu Dhabi [Bettina], United Arab Emirates",AZI
"Abu Dhabi [Nadia International Airport], United Arab Emirates",AUH
"Abu Dhabi, United Arab Emirates",DFA
"Abu Simbel, Egypt",ABS
"Abuja, Nigeria",ABV
"Acandi, Colombia",ACD
"Acapulco [General Juan N. Alvarez], Mexico",ACA
"Acaricura, Colombia",ARF
"Acarigua, Venezuela",AGV
"Accra [Kotoka], Ghana",ACC
"Achutupo, Panama",ACU
"Ada, OK [Ada Municipal Airport], USA",ADT
"Adak Island, AK [Adak Naval Air Station], USA",ADK
"Adana [Incirlik Air Base], Turkey",ADA
"Adana [Incirlik Air Base], Turkey",ADC
"Addis Ababa [Bole], Ethiopia",ADD
"Adelaide, South Australia [International], Australia",ADL
"Aden [International], Yemen",ADE
"Adler/Sochi, Krasnodar, Russia",AER
"Adrar [Touat], Algeria",AZR
"Adrian, MI [Lenawee County Airport], USA",ADG
"Aek Godang, Indonesia",AEG
"Afore, Papua New Guinea",AFR
"Afton, WY [Afton Municipal Airport], USA",AFO
"Afyon, Turkey",AFY
"Agades (Agadez), Niger",AJY
"Agadir [Al Massira], Morocco",AGA
"Agana [Agana Naval Air Station], Guam",NGM
"Agartala, India",IXA
"Agatti Island, India",AGX
"Agaun, Papua New Guinea",AUP
"Agen, France",AGF
"Aggeneys, South Africa",AGZ
"Agnew, Queensland, Australia",AGW
"Ago, Argentina",ING
"Agra, India",AGR
"Agrinion, Greece",AGQ
"Aguadilla, Puerto Rico",BQN
"Aguascalientes, Mexico",AGU
"Aguni, Japan",AGJ
"Ahmedabad, India",AMD
"Ahuas, Honduras",AHS
"Ahwaz, Iran",AWZ
"Aiken, SC [Aiken Municipal Airport], USA",AIK
"Ailigandi, Panama",AIL
"Ailinglapalap, Marshall Islands",AIP
"Ailuk, Ine Island, Marshall Islands",AIM
"Ainsworth, NE [Ainsworth Municipal Airport], USA",ANW
"Aiome, Papua New Guinea",AIE
"Aioun el Atrouss, Mauritania",AEO
"Airlie Beach, Queensland, Australia",WSY
"Airok, Marshall Islands",AIC
"Aishalton, Guyana",AHL
"Aitape, Papua New Guinea",ATP
"Aitutaki, Cook Islands",AIT
"Aiyura, Papua New Guinea",AYU
"Aizawl, India",AJL
"Ajaccio, Corsica [Campo Dell'Oro], France",AJA
"Ajman City, United Arab Emirates",QAJ
"Akhiok, AK [Akhiok Airport], USA",AKK
"Akiachak, AK [Akiachak Seaplane Base], USA",KKI
"Akiak, AK [Akiak Airport], USA",AKI
"Akieni, Gabon",AKE
"Akita, Japan",AXT
"Akjoujt, Mauritania",AJJ
"Aklavik, NT [Aklavik Airport], Canada",LAK
"Akola, India",AKD
"Akron, CO [Akron-Washington County Airport], USA",AKO
"Akron, OH [Akron-Canton Regional Airport], USA",CAK
"Akrotiri, Cyprus",AKT
"Aksu, China",AKU
"Akulivik, QC, Canada",AKV
"Akure, Nigeria",AKR
"Akureyri, Iceland",AEY
"Akutan, AK [Akutan Seaplane Base], USA",KQA
"Al Ain, United Arab Emirates",AAN
"Al Arish, Egypt",AAC
"Al Baha, Saudi Arabia",ABT
"Al Bayda, Yemen",AYY
"Al Ghaydah, Yemen",AAY
"Al Hoceima [Cote du Rif], Morocco",AHU
"Al Kharj Air Base, Saudi Arabia",XWP
"Al Thaurah, Syria",SOR
"Alagoinhas, BA, Brazil",QGS
"Alah, Philippines",AAV
"Alakanuk, AK [Alakanuk Airport], USA",AUK
"Alameda, CA [Alameda Naval Air Station (Nimitz Field)], USA",NGZ
"Alamogordo, NM [White Sands Regional Airport], USA",ALM
"Alamogordo, NM [Holloman Air Force Base], USA",HMN
"Alamos, Mexico",XAL
"Alamosa, CO [San Luis Valley Regional Airport/Bergman F.], USA",ALS
"Albany, GA [Albany Naval Air Station], USA",NAB
"Albany, GA [Southwest Georgia Regional Airport], USA",ABY
"Albany, NY [Albany County Airport], USA",ALB
"Albany, Western Australia, Australia",ALH
"Albenga, Italy",ALL
"Albert Lea, MN [Albert Lea Municipal Airport], USA",AEL
"Albi, France",LBI
"Albina, Suriname",ABN
"Albion, NE [Albion Municipal Airport], USA",BVN
"Albuq, Yemen",BUK
"Albuquerque, NM [Albuquerque International Airport], USA",ABQ
"Albury, New South Wales, Australia",ABX
"Alconbury, England [Alconbury RAF Station], United Kingdom",AYH
"Alcoota, Northern Territory, Australia",WCY
"Aldan, Yakutia-Sakha, Russia",ADH
"Alderney, Channel Islands",ACI
"Aleg, Mauritania",LEG
"Alegrete, RS, Brazil",ALQ
"Aleknagik, AK [Aleknagik Airport], USA",WKK
"Alenquer, PA, Brazil",ALT
"Aleppo, Syria",ALP
"Alert Bay, BC [Alert Bay Airport], Canada",YAL
"Alert, NT [Alert Airport], Canada",YLT
"Alerta, Peru",ALD
"Alesund (Aalesund) [Vigra], Norway",AES
"Alexander Bay, South Africa",ALJ
"Alexander City, AL [Thomas C. Russell Field], USA",ALX
"Alexandra, New Zealand",ALR
"Alexandria Bay, NY [Maxson Airfield], USA",AXB
"Alexandria, Egypt",ALY
"Alexandria, LA [Alexandria Esler Regional Airport], USA",ESF
"Alexandria, LA [Alexandria International Airport], USA",AEX
"Alexandria, MN [Chandler Field], USA",AXN
